epoch,train_loss,val_metric,lr,is_best
1,5.547777,1.937661,0.00002000,True
2,4.487025,1.965538,0.00003000,False
3,4.452184,1.926370,0.00004000,True
4,4.492195,1.937561,0.00005000,False
5,4.556213,1.967775,0.00005000,False
6,4.555909,1.934229,0.00005000,False
7,4.526212,1.942495,0.00004999,False
8,4.504579,1.957488,0.00004997,False
9,4.559871,1.926892,0.00004995,False
10,4.368415,1.926956,0.00004992,False
11,4.500589,1.948784,0.00004988,False
12,4.444870,1.992248,0.00004984,False
13,4.448623,1.936345,0.00004979,False
14,4.535454,1.964970,0.00004974,False
15,4.585817,1.929526,0.00004968,False
16,4.478684,1.926775,0.00004961,False
17,4.481048,1.968652,0.00004953,False
18,4.373509,1.938228,0.00004945,False
19,4.573258,1.928043,0.00004937,False
20,4.579660,1.928451,0.00004927,False
21,4.509287,1.977367,0.00004917,False
22,4.431021,1.928212,0.00004907,False
23,4.373681,1.937585,0.00004896,False
24,4.482714,1.948699,0.00004884,False
25,4.353038,1.945525,0.00004871,False
26,4.363633,1.942279,0.00004858,False
27,4.605821,1.948675,0.00004845,False
28,4.592122,1.935594,0.00004830,False
29,4.467981,1.968020,0.00004815,False
30,4.423626,1.932641,0.00004800,False
31,4.388318,1.941923,0.00004784,False
32,4.411374,1.929969,0.00004767,False
33,4.433272,1.927872,0.00004750,False
34,4.395062,1.928837,0.00004732,False
35,4.378154,1.926797,0.00004714,False
36,4.549304,1.947779,0.00004695,False
37,4.405297,1.934293,0.00004675,False
38,4.404445,1.951292,0.00004655,False
39,4.487298,1.936552,0.00004634,False
40,4.438034,1.966100,0.00004613,False
41,4.367655,1.936781,0.00004591,False
42,4.382358,1.929706,0.00004569,False
43,4.527384,1.934850,0.00004546,False
44,4.448280,1.951800,0.00004523,False
45,4.505858,1.942704,0.00004499,False
46,4.362466,1.927640,0.00004474,False
47,4.365192,1.946017,0.00004449,False
48,4.478364,1.964293,0.00004424,False
49,4.369878,1.927381,0.00004398,False
50,4.425625,1.938374,0.00004371,False
51,4.416501,1.962620,0.00004344,False
52,4.331459,1.931098,0.00004317,False
53,4.454752,1.940695,0.00004289,False
54,4.388981,1.932473,0.00004261,False
55,4.533674,1.929547,0.00004232,False
56,4.497558,1.929547,0.00004203,False
57,4.344811,1.937858,0.00004173,False
58,4.422644,1.945789,0.00004143,False
59,4.456306,1.931141,0.00004112,False
60,4.408898,1.961271,0.00004081,False
61,4.529884,1.938145,0.00004050,False
62,4.456242,1.933461,0.00004018,False
63,4.404571,1.957555,0.00003986,False
64,4.430083,1.935429,0.00003953,False
65,4.492291,1.936703,0.00003920,False
66,4.794323,1.935607,0.00003887,False
67,4.410760,1.940969,0.00003853,False
68,4.344700,1.932397,0.00003819,False
69,4.424256,1.933222,0.00003785,False
70,4.382464,1.953828,0.00003750,False
71,4.424602,1.931910,0.00003715,False
72,4.443919,1.935102,0.00003680,False
73,4.454185,1.944684,0.00003644,False
74,4.466777,1.943197,0.00003608,False
75,4.373111,1.939273,0.00003572,False
76,4.545957,1.947547,0.00003535,False
77,4.552138,1.939765,0.00003498,False
78,4.406232,1.933158,0.00003461,False
79,4.447923,1.928194,0.00003424,False
80,4.571828,1.934554,0.00003387,False
81,4.504545,1.934486,0.00003349,False
82,4.588001,1.934722,0.00003311,False
83,4.415698,1.947549,0.00003273,False
84,4.514599,1.947154,0.00003234,False
85,4.527539,1.930477,0.00003196,False
86,4.579539,1.937067,0.00003157,False
87,4.550904,1.928847,0.00003118,False
88,4.606786,1.934883,0.00003079,False
89,4.414136,1.935759,0.00003039,False
90,4.364017,1.939729,0.00003000,False
91,4.475977,1.942068,0.00002961,False
92,4.553401,1.934051,0.00002921,False
93,4.372489,1.942838,0.00002881,False
94,4.393054,1.937841,0.00002841,False
95,4.433870,1.932902,0.00002801,False
96,4.378785,1.927872,0.00002761,False
97,4.246095,1.883711,0.00002721,True
98,4.126856,1.799112,0.00002681,True
99,3.989754,1.999900,0.00002641,False
100,3.494014,1.835648,0.00002601,False
101,3.151448,1.804832,0.00002560,False
102,2.953854,1.579839,0.00002520,True
103,2.973332,1.639768,0.00002480,False
104,2.793761,1.435697,0.00002440,True
105,2.774757,1.524009,0.00002399,False
106,2.651683,1.428287,0.00002359,True
107,2.656631,1.526166,0.00002319,False
108,2.629061,1.665520,0.00002279,False
109,2.721775,1.352031,0.00002239,True
110,2.571009,1.439367,0.00002199,False
111,2.535295,1.468476,0.00002159,False
112,2.411588,1.382380,0.00002119,False
113,2.454856,1.393496,0.00002079,False
114,2.538894,1.396321,0.00002039,False
115,2.534729,1.331248,0.00002000,True
116,2.396776,1.387377,0.00001961,False
117,2.412106,1.420472,0.00001921,False
118,2.505589,1.707786,0.00001882,False
119,2.498932,1.339969,0.00001843,False
120,2.492764,1.339472,0.00001804,False
121,2.396387,1.431036,0.00001766,False
122,2.377229,1.430040,0.00001727,False
123,2.590984,1.557255,0.00001689,False
124,2.431030,1.505034,0.00001651,False
125,2.359469,1.415742,0.00001613,False
126,2.389508,1.330296,0.00001576,True
127,2.383422,1.391765,0.00001539,False
128,2.397144,1.540097,0.00001502,False
129,2.363331,1.450919,0.00001465,False
130,2.492969,1.355303,0.00001428,False
131,2.359476,1.386275,0.00001392,False
132,2.278231,1.334704,0.00001356,False
133,2.369887,1.373325,0.00001320,False
134,2.288166,1.370604,0.00001285,False
135,2.219391,1.381053,0.00001250,False
136,2.185597,1.478270,0.00001215,False
137,2.213450,1.393623,0.00001181,False
138,2.183277,1.384997,0.00001147,False
139,2.185322,1.390472,0.00001113,False
140,2.276758,1.390279,0.00001080,False
141,2.113732,1.401970,0.00001047,False
142,2.118347,1.468771,0.00001014,False
143,2.122014,1.454832,0.00000982,False
144,2.262701,1.441472,0.00000950,False
145,2.078689,1.377657,0.00000919,False
146,2.028186,1.345919,0.00000888,False
147,2.107613,1.382875,0.00000857,False
148,2.106149,1.513091,0.00000827,False
149,1.995799,1.374587,0.00000797,False
150,1.993124,1.341132,0.00000768,False
151,1.889486,1.379279,0.00000739,False
152,1.933796,1.302203,0.00000711,True
153,1.865268,1.421070,0.00000683,False
154,1.955523,1.355118,0.00000656,False
155,1.865276,1.432603,0.00000629,False
156,1.947003,1.327827,0.00000602,False
157,1.765186,1.367084,0.00000576,False
158,1.797443,1.319454,0.00000551,False
159,1.730732,1.346747,0.00000526,False
160,1.931805,1.299712,0.00000501,True
161,1.770982,1.341927,0.00000477,False
162,1.798496,1.318155,0.00000454,False
163,1.839052,1.368000,0.00000431,False
164,1.930278,1.308000,0.00000409,False
165,1.809503,1.348731,0.00000387,False
166,1.751531,1.317013,0.00000366,False
167,1.708611,1.347686,0.00000345,False
168,1.727312,1.291507,0.00000325,True
169,1.639704,1.314270,0.00000305,False
170,1.728458,1.302159,0.00000286,False
171,1.660351,1.283248,0.00000268,True
172,1.679529,1.304040,0.00000250,False
173,1.640152,1.324151,0.00000233,False
174,1.611890,1.315034,0.00000216,False
175,1.710515,1.293605,0.00000200,False
176,1.616272,1.291741,0.00000185,False
177,1.669645,1.288177,0.00000170,False
