epoch,train_loss,val_metric,lr,is_best
1,0.588190,0.553254,0.00002000,True
2,0.590799,0.569614,0.00003000,True
3,0.594429,0.497738,0.00004000,False
4,0.590425,0.465454,0.00005000,False
5,0.591354,0.546815,0.00005000,False
6,0.588351,0.511051,0.00004999,False
7,0.587453,0.562478,0.00004998,False
8,0.585411,0.564654,0.00004995,False
9,0.586815,0.497738,0.00004991,False
10,0.584646,0.549078,0.00004985,False
11,0.586985,0.478594,0.00004979,False
12,0.589788,0.492691,0.00004971,False
13,0.583429,0.576488,0.00004963,True
14,0.582871,0.610599,0.00004953,True
15,0.583443,0.575705,0.00004942,False
16,0.582137,0.560042,0.00004929,False
17,0.586559,0.513923,0.00004916,False
18,0.583283,0.592673,0.00004901,False
19,0.585389,0.567351,0.00004886,False
20,0.583570,0.487470,0.00004869,False
21,0.585021,0.481813,0.00004851,False
22,0.588816,0.521754,0.00004832,False
23,0.583970,0.533241,0.00004812,False
24,0.583077,0.506265,0.00004791,False
25,0.582931,0.550905,0.00004769,False
26,0.581432,0.520449,0.00004746,False
27,0.583909,0.506961,0.00004721,False
28,0.586338,0.447616,0.00004696,False
29,0.585454,0.591107,0.00004670,False
30,0.586368,0.532283,0.00004642,False
31,0.584585,0.512617,0.00004614,False
32,0.582149,0.581709,0.00004584,False
33,0.583886,0.565176,0.00004554,False
34,0.586994,0.509746,0.00004523,False
35,0.582479,0.467630,0.00004490,False
36,0.582969,0.496432,0.00004457,False
37,0.585378,0.460668,0.00004423,False
38,0.583596,0.429081,0.00004388,False
39,0.586763,0.460929,0.00004352,False
40,0.581730,0.510529,0.00004315,False
41,0.580972,0.465628,0.00004277,False
42,0.584012,0.502175,0.00004239,False
43,0.583523,0.509224,0.00004199,False
44,0.581337,0.452663,0.00004159,False
45,0.584206,0.445266,0.00004118,False
46,0.583635,0.454490,0.00004077,False
47,0.583772,0.529847,0.00004034,False
48,0.581968,0.619300,0.00003991,True
49,0.586049,0.575792,0.00003947,False
50,0.582528,0.497215,0.00003903,False
51,0.581820,0.532022,0.00003858,False
52,0.585903,0.530369,0.00003812,False
53,0.581295,0.590585,0.00003766,False
